dataset,N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
ces,0-shot,None,CoT,gpt-oss-20b,0.440,0.438,0.529,0.532,0.541,0.502,0.506,0.507,0.512,0.509,0.516,0.515,2063.2,110.4,1809.1,468.8,3872.4,518.0,37.2339,23.0632,-,-,"[0.386, 0.498]","[0.383, 0.493]","[0.474, 0.580]","[0.468, 0.592]","[0.483, 0.596]","[0.445, 0.558]","[0.453, 0.561]","[0.448, 0.568]","[0.454, 0.567]","[0.451, 0.565]","[0.456, 0.572]","[0.459, 0.569]"
ces,4-shot,Cross Random,CoT,GPT-5,0.627,0.553,0.552,0.558,0.600,0.514,0.518,0.516,0.527,0.524,0.525,0.525,6632.3,286.2,2029.8,313.1,8662.1,445.0,38.0796,8.9437,0.029,0.003,"[0.573, 0.683]","[0.494, 0.609]","[0.498, 0.607]","[0.498, 0.619]","[0.543, 0.650]","[0.455, 0.567]","[0.459, 0.576]","[0.465, 0.566]","[0.470, 0.580]","[0.466, 0.575]","[0.470, 0.579]","[0.469, 0.577]"
ces,4-shot,Cross Random,CoT,Claude Sonnet 4.5,0.552,0.528,0.556,0.571,0.518,0.482,0.488,0.486,0.505,0.498,0.509,0.508,6945.4,290.3,1102.0,126.0,8047.4,325.0,30.3043,3.9088,0.037,0.002,"[0.502, 0.605]","[0.474, 0.581]","[0.506, 0.605]","[0.508, 0.634]","[0.458, 0.579]","[0.423, 0.537]","[0.432, 0.539]","[0.424, 0.544]","[0.451, 0.559]","[0.441, 0.554]","[0.451, 0.566]","[0.454, 0.562]"
ces,4-shot,Cross Random,CoT,Gemini 2.5 Pro,0.404,0.402,0.547,0.540,0.485,0.473,0.495,0.494,0.485,0.430,0.495,0.497,7581.3,549.3,3619.2,573.4,11200.5,915.5,40.1597,6.8560,0.046,0.006,"[0.347, 0.458]","[0.344, 0.455]","[0.483, 0.599]","[0.485, 0.585]","[0.428, 0.545]","[0.417, 0.531]","[0.441, 0.547]","[0.434, 0.556]","[0.431, 0.542]","[0.378, 0.482]","[0.422, 0.567]","[0.456, 0.537]"
ces,4-shot,Cross Random,CoT,gpt-oss-20b,0.447,0.443,0.515,0.518,0.522,0.494,0.500,0.500,0.486,0.479,0.488,0.489,6693.0,286.5,2034.3,594.1,8727.3,705.2,40.1735,26.8666,-,-,"[0.392, 0.505]","[0.386, 0.501]","[0.461, 0.569]","[0.454, 0.581]","[0.468, 0.577]","[0.435, 0.547]","[0.443, 0.550]","[0.438, 0.556]","[0.432, 0.543]","[0.423, 0.534]","[0.431, 0.546]","[0.434, 0.542]"
ces,4-shot,Cross Retrieval,CoT,GPT-5,0.670,0.527,0.539,0.529,0.653,0.506,0.550,0.526,0.550,0.516,0.558,0.543,6453.9,638.9,1947.0,322.7,8400.9,672.9,35.7650,9.0447,0.028,0.003,"[0.613, 0.723]","[0.469, 0.583]","[0.471, 0.610]","[0.478, 0.580]","[0.597, 0.700]","[0.446, 0.560]","[0.464, 0.631]","[0.483, 0.567]","[0.493, 0.603]","[0.460, 0.570]","[0.495, 0.619]","[0.496, 0.590]"
ces,4-shot,Cross Retrieval,CoT,Claude Sonnet 4.5,0.582,0.524,0.530,0.536,0.635,0.544,0.555,0.545,0.532,0.530,0.531,0.531,6761.1,661.3,1105.6,123.4,7866.6,666.5,30.3732,3.0567,0.037,0.003,"[0.525, 0.635]","[0.467, 0.579]","[0.478, 0.582]","[0.474, 0.599]","[0.582, 0.689]","[0.484, 0.603]","[0.489, 0.622]","[0.492, 0.600]","[0.475, 0.589]","[0.474, 0.584]","[0.476, 0.586]","[0.476, 0.585]"
ces,4-shot,Cross Retrieval,CoT,Gemini 2.5 Pro,0.480,0.469,0.523,0.528,0.554,0.506,0.507,0.508,0.503,0.492,0.510,0.509,7325.5,957.4,3680.8,580.8,11006.3,1267.6,41.4863,6.3189,0.046,0.006,"[0.422, 0.537]","[0.411, 0.525]","[0.470, 0.572]","[0.462, 0.589]","[0.497, 0.605]","[0.449, 0.558]","[0.451, 0.559]","[0.449, 0.565]","[0.446, 0.554]","[0.434, 0.544]","[0.450, 0.570]","[0.456, 0.562]"
ces,4-shot,Cross Retrieval,CoT,gpt-oss-20b,0.507,0.492,0.533,0.541,0.624,0.551,0.556,0.551,0.530,0.530,0.531,0.531,6514.7,638.8,1955.1,556.3,8469.9,854.0,21.5953,13.7657,-,-,"[0.453, 0.564]","[0.435, 0.547]","[0.484, 0.585]","[0.479, 0.605]","[0.567, 0.678]","[0.492, 0.607]","[0.495, 0.617]","[0.496, 0.605]","[0.473, 0.587]","[0.471, 0.586]","[0.472, 0.587]","[0.472, 0.587]"
ces,4-shot,Personal Recent,CoT,GPT-5,0.783,0.679,0.736,0.661,0.723,0.615,0.697,0.613,0.630,0.628,0.630,0.628,6536.5,497.6,1834.8,329.1,8371.3,647.4,34.6617,9.6747,0.027,0.003,"[0.737, 0.827]","[0.618, 0.738]","[0.667, 0.804]","[0.608, 0.717]","[0.667, 0.770]","[0.551, 0.671]","[0.616, 0.771]","[0.564, 0.659]","[0.573, 0.683]","[0.571, 0.680]","[0.575, 0.684]","[0.573, 0.681]"
