dataset,N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
mental-iot,0-shot,None,CoT,Mistral 7B,0.619,0.517,0.533,0.553,0.758,0.556,0.555,0.557,0.454,0.429,0.429,0.432,1895.2,11.0,451.3,70.6,2346.5,72.6,4.6439,0.6708,-,-,"[0.534, 0.712]","[0.424, 0.618]","[0.461, 0.616]","[0.434, 0.684]","[0.683, 0.830]","[0.452, 0.665]","[0.454, 0.668]","[0.451, 0.678]","[0.354, 0.549]","[0.329, 0.526]","[0.329, 0.530]","[0.339, 0.528]"
mental-iot,0-shot,None,CoT,gpt-oss-20b,0.363,0.362,0.539,0.544,0.653,0.532,0.538,0.554,0.523,0.523,0.523,0.523,1658.0,11.9,1666.5,346.4,3324.5,346.4,36.1614,24.7168,-,-,"[0.301, 0.435]","[0.296, 0.431]","[0.476, 0.599]","[0.475, 0.608]","[0.585, 0.715]","[0.457, 0.609]","[0.476, 0.604]","[0.464, 0.644]","[0.451, 0.591]","[0.446, 0.590]","[0.447, 0.591]","[0.448, 0.592]"
mental-iot,4-shot,Cross Random,CoT,GPT-5,0.685,0.493,0.493,0.493,0.615,0.514,0.533,0.553,0.490,0.483,0.497,0.497,2249.4,136.8,1859.4,228.0,4108.8,267.8,46.2904,13.4206,0.021,0.002,"[0.620, 0.745]","[0.426, 0.560]","[0.429, 0.563]","[0.423, 0.564]","[0.545, 0.680]","[0.440, 0.583]","[0.473, 0.591]","[0.457, 0.645]","[0.420, 0.555]","[0.411, 0.547]","[0.425, 0.567]","[0.432, 0.563]"
mental-iot,4-shot,Cross Random,CoT,Claude Sonnet 4.5,0.340,0.338,0.493,0.492,0.315,0.315,0.516,0.517,0.465,0.393,0.464,0.483,2433.3,140.4,983.6,81.1,3416.9,174.9,25.9564,2.9924,0.022,0.001,"[0.275, 0.410]","[0.274, 0.405]","[0.427, 0.557]","[0.412, 0.566]","[0.255, 0.380]","[0.253, 0.380]","[0.448, 0.576]","[0.442, 0.581]","[0.395, 0.535]","[0.330, 0.452]","[0.356, 0.566]","[0.433, 0.530]"
mental-iot,4-shot,Cross Random,CoT,Gemini 2.5 Pro,0.254,0.249,0.481,0.488,0.371,0.368,0.557,0.573,0.477,0.339,0.570,0.504,2380.3,285.7,3279.7,475.5,5660.0,668.3,39.9455,5.9974,0.036,0.005,"[0.198, 0.315]","[0.193, 0.307]","[0.386, 0.566]","[0.428, 0.542]","[0.305, 0.442]","[0.303, 0.434]","[0.504, 0.608]","[0.505, 0.632]","[0.406, 0.543]","[0.297, 0.386]","[0.223, 0.759]","[0.488, 0.522]"
mental-iot,4-shot,Cross Random,CoT,gpt-oss-20b,0.355,0.351,0.493,0.490,0.660,0.521,0.526,0.536,0.543,0.540,0.551,0.549,2309.8,137.1,1672.2,406.4,3982.1,451.6,35.5278,25.6344,-,-,"[0.289, 0.416]","[0.286, 0.414]","[0.427, 0.555]","[0.408, 0.569]","[0.594, 0.726]","[0.447, 0.597]","[0.465, 0.593]","[0.450, 0.631]","[0.472, 0.609]","[0.470, 0.607]","[0.481, 0.621]","[0.482, 0.616]"
mental-iot,4-shot,Cross Retrieval,CoT,GPT-5,0.740,0.476,0.478,0.487,0.705,0.543,0.542,0.551,0.495,0.490,0.491,0.491,4014.5,172.7,1759.4,278.4,5773.9,313.5,44.9770,11.8488,0.023,0.003,"[0.675, 0.805]","[0.422, 0.546]","[0.402, 0.584]","[0.440, 0.544]","[0.640, 0.760]","[0.470, 0.611]","[0.478, 0.605]","[0.472, 0.633]","[0.420, 0.565]","[0.416, 0.562]","[0.418, 0.564]","[0.420, 0.563]"
mental-iot,4-shot,Cross Retrieval,CoT,Claude Sonnet 4.5,0.482,0.431,0.487,0.479,0.523,0.464,0.518,0.531,0.503,0.502,0.506,0.506,4243.8,179.0,990.4,116.5,5234.1,215.9,25.9650,2.8740,0.028,0.002,"[0.417, 0.548]","[0.368, 0.494]","[0.432, 0.540]","[0.393, 0.568]","[0.452, 0.593]","[0.393, 0.535]","[0.461, 0.571]","[0.435, 0.623]","[0.432, 0.568]","[0.427, 0.565]","[0.435, 0.571]","[0.435, 0.569]"
mental-iot,4-shot,Cross Retrieval,CoT,Gemini 2.5 Pro,0.355,0.353,0.509,0.511,0.376,0.373,0.561,0.576,0.487,0.408,0.524,0.509,4357.9,572.6,3591.3,638.8,7949.2,1101.8,43.6157,6.0461,0.041,0.007,"[0.289, 0.426]","[0.284, 0.422]","[0.441, 0.572]","[0.431, 0.589]","[0.310, 0.442]","[0.309, 0.436]","[0.508, 0.608]","[0.510, 0.635]","[0.416, 0.558]","[0.346, 0.471]","[0.414, 0.646]","[0.468, 0.553]"
mental-iot,4-shot,Cross Retrieval,CoT,gpt-oss-20b,0.374,0.364,0.462,0.449,0.631,0.510,0.516,0.522,0.458,0.457,0.459,0.459,4074.4,181.9,1837.0,425.9,5911.4,481.0,38.5308,26.1259,-,-,"[0.302, 0.441]","[0.293, 0.432]","[0.392, 0.527]","[0.354, 0.537]","[0.553, 0.704]","[0.436, 0.584]","[0.455, 0.583]","[0.435, 0.617]","[0.385, 0.536]","[0.380, 0.531]","[0.381, 0.537]","[0.385, 0.537]"
mental-iot,4-shot,Personal Recent,CoT,GPT-5,0.750,0.557,0.565,0.554,0.680,0.541,0.542,0.558,0.505,0.503,0.509,0.509,2195.1,55.4,1897.5,274.0,4092.6,282.1,47.0972,13.6143,0.022,0.003,"[0.695, 0.810]","[0.479, 0.636]","[0.480, 0.657]","[0.483, 0.632]","[0.610, 0.745]","[0.461, 0.617]","[0.476, 0.609]","[0.465, 0.650]","[0.430, 0.570]","[0.430, 0.567]","[0.435, 0.577]","[0.437, 0.574]"
mental-iot,4-shot,Personal Recent,CoT,Claude Sonnet 4.5,0.523,0.503,0.594,0.645,0.497,0.473,0.571,0.616,0.508,0.497,0.517,0.515,2378.0,58.9,947.9,103.9,3325.9,120.1,25.0963,3.0711,0.021,0.002,"[0.447, 0.593]","[0.427, 0.572]","[0.543, 0.645]","[0.568, 0.709]","[0.427, 0.563]","[0.400, 0.540]","[0.520, 0.618]","[0.534, 0.689]","[0.442, 0.578]","[0.426, 0.565]","[0.443, 0.593]","[0.450, 0.581]"
mental-iot,4-shot,Personal Recent,CoT,Gemini 2.5 Pro,0.239,0.230,0.477,0.488,0.355,0.355,0.579,0.586,0.467,0.334,0.434,0.493,2321.6,241.8,3516.5,546.3,5838.1,723.8,42.1276,6.8613,0.038,0.006,"[0.183, 0.294]","[0.174, 0.282]","[0.353, 0.574]","[0.426, 0.538]","[0.294, 0.416]","[0.293, 0.415]","[0.530, 0.623]","[0.532, 0.634]","[0.401, 0.538]","[0.294, 0.381]","[0.217, 0.727]","[0.472, 0.516]"
mental-iot,4-shot,Personal Recent,CoT,gpt-oss-20b,0.410,0.405,0.558,0.575,0.625,0.510,0.523,0.536,0.545,0.542,0.543,0.543,2256.1,55.4,1611.8,380.1,3868.0,380.2,26.6091,11.8019,-,-,"[0.345, 0.480]","[0.336, 0.474]","[0.502, 0.612]","[0.502, 0.641]","[0.560, 0.690]","[0.438, 0.575]","[0.468, 0.581]","[0.445, 0.625]","[0.475, 0.610]","[0.474, 0.609]","[0.475, 0.610]","[0.475, 0.610]"
mental-iot,4-shot,Hybrid,CoT,GPT-5,0.750,0.557,0.565,0.554,0.715,0.574,0.570,0.591,0.555,0.555,0.556,0.556,2211.2,13.3,1908.6,281.4,4119.8,282.9,47.3797,12.8763,0.022,0.003,"[0.695, 0.810]","[0.485, 0.629]","[0.486, 0.653]","[0.487, 0.626]","[0.650, 0.775]","[0.494, 0.648]","[0.502, 0.640]","[0.503, 0.677]","[0.485, 0.620]","[0.484, 0.620]","[0.485, 0.621]","[0.485, 0.620]"
mental-iot,4-shot,Hybrid,CoT,Claude Sonnet 4.5,0.520,0.502,0.600,0.653,0.480,0.465,0.589,0.640,0.545,0.529,0.567,0.556,2393.9,14.3,962.2,80.9,3356.0,83.5,25.3068,3.0130,0.022,0.001,"[0.450, 0.590]","[0.427, 0.572]","[0.547, 0.649]","[0.579, 0.715]","[0.415, 0.550]","[0.392, 0.531]","[0.541, 0.635]","[0.570, 0.706]","[0.470, 0.615]","[0.454, 0.597]","[0.488, 0.641]","[0.490, 0.620]"
mental-iot,4-shot,Hybrid,CoT,Gemini 2.5 Pro,0.291,0.290,0.528,0.522,0.352,0.349,0.532,0.539,0.477,0.331,0.489,0.500,2347.7,167.2,3640.6,444.4,5988.3,556.8,44.0414,5.3542,0.039,0.005,"[0.231, 0.357]","[0.229, 0.350]","[0.454, 0.596]","[0.466, 0.575]","[0.291, 0.417]","[0.290, 0.415]","[0.475, 0.584]","[0.469, 0.609]","[0.407, 0.548]","[0.293, 0.371]","[0.211, 0.760]","[0.485, 0.514]"
mental-iot,4-shot,Hybrid,CoT,gpt-oss-20b,0.432,0.424,0.557,0.579,0.709,0.555,0.552,0.565,0.518,0.515,0.515,0.515,2272.2,13.3,1524.6,345.0,3796.8,345.7,24.7859,11.2574,-,-,"[0.367, 0.503]","[0.359, 0.492]","[0.507, 0.608]","[0.511, 0.648]","[0.643, 0.769]","[0.485, 0.628]","[0.489, 0.622]","[0.487, 0.651]","[0.447, 0.583]","[0.441, 0.582]","[0.441, 0.584]","[0.442, 0.583]"
mental-iot,4-shot,Cross Random,Direct,GPT-5,0.690,0.496,0.496,0.496,0.550,0.454,0.488,0.480,0.515,0.512,0.521,0.520,2107.4,136.8,1315.7,306.6,3423.1,331.8,36.6526,17.1838,0.016,0.003,"[0.625, 0.755]","[0.430, 0.570]","[0.428, 0.572]","[0.431, 0.573]","[0.480, 0.615]","[0.388, 0.516]","[0.437, 0.538]","[0.393, 0.566]","[0.445, 0.580]","[0.440, 0.579]","[0.447, 0.592]","[0.449, 0.587]"
mental-iot,4-shot,Personal Recent,Direct,GPT-5,0.765,0.568,0.583,0.563,0.665,0.556,0.562,0.594,0.510,0.509,0.513,0.513,2053.1,55.4,1255.2,273.0,3308.3,284.8,33.7237,11.6264,0.015,0.003,"[0.705, 0.820]","[0.490, 0.649]","[0.494, 0.682]","[0.495, 0.640]","[0.600, 0.730]","[0.482, 0.623]","[0.501, 0.618]","[0.502, 0.682]","[0.435, 0.570]","[0.435, 0.568]","[0.439, 0.573]","[0.440, 0.573]"
mental-iot,4-shot,Personal Recent,Self-Feedback,GPT-5,0.780,0.591,0.612,0.582,0.715,0.588,0.583,0.613,0.550,0.549,0.549,0.549,9696.3,921.8,6383.4,914.0,16079.7,1638.2,115.2871,24.3010,0.076,0.010,"[0.720, 0.840]","[0.507, 0.668]","[0.514, 0.712]","[0.510, 0.655]","[0.650, 0.775]","[0.510, 0.660]","[0.519, 0.650]","[0.525, 0.699]","[0.475, 0.615]","[0.470, 0.614]","[0.470, 0.615]","[0.471, 0.615]"
globem,0-shot,None,Direct,GPT-5,0.715,0.481,0.484,0.480,0.792,0.542,0.557,0.539,,,,,1764.6,37.1,1536.3,342.4,3300.9,346.1,23.3464,7.0952,0.018,0.003,"[0.667, 0.758]","[0.436, 0.527]","[0.445, 0.526]","[0.431, 0.532]","[0.754, 0.831]","[0.493, 0.602]","[0.496, 0.635]","[0.497, 0.590]",,,,
globem,0-shot,None,Direct,Claude Sonnet 4.5,0.551,0.454,0.504,0.509,0.587,0.460,0.487,0.478,,,,,1871.1,37.9,510.9,86.4,2382.0,91.5,14.6669,2.1721,0.013,0.001,"[0.500, 0.599]","[0.406, 0.500]","[0.471, 0.539]","[0.439, 0.579]","[0.539, 0.630]","[0.413, 0.508]","[0.453, 0.526]","[0.417, 0.545]",,,,
globem,0-shot,None,Direct,Gemini 2.5 Pro,0.444,0.392,0.489,0.478,0.481,0.438,0.526,0.548,,,,,1920.0,106.8,2693.5,404.2,4613.6,453.9,33.3935,7.0447,0.029,0.004,"[0.396, 0.490]","[0.348, 0.437]","[0.453, 0.525]","[0.410, 0.550]","[0.437, 0.532]","[0.393, 0.484]","[0.494, 0.563]","[0.488, 0.613]",,,,
globem,0-shot,None,Direct,Llama-3.1 8b,0.556,0.444,0.488,0.478,0.412,0.366,0.458,0.423,,,,,1774.6,37.1,452.4,122.3,2227.0,128.6,5.4757,1.4233,-,-,"[0.507, 0.605]","[0.402, 0.486]","[0.457, 0.523]","[0.416, 0.547]","[0.366, 0.459]","[0.324, 0.408]","[0.422, 0.497]","[0.360, 0.494]",,,,
globem,0-shot,None,Direct,Mistral 7B,0.666,0.467,0.489,0.479,0.695,0.494,0.499,0.499,,,,,2110.7,51.6,589.1,138.5,2699.8,155.1,6.2116,1.4814,-,-,"[0.608, 0.724]","[0.417, 0.524]","[0.450, 0.532]","[0.403, 0.568]","[0.641, 0.748]","[0.438, 0.548]","[0.452, 0.547]","[0.433, 0.564]",,,,
globem,0-shot,None,Direct,gpt-oss-20b,0.420,0.378,0.487,0.474,0.580,0.482,0.516,0.529,,,,,1825.6,37.1,1076.3,363.9,2901.9,370.6,11.1564,5.4819,-,-,"[0.374, 0.469]","[0.331, 0.423]","[0.450, 0.522]","[0.406, 0.546]","[0.529, 0.628]","[0.435, 0.529]","[0.481, 0.552]","[0.466, 0.596]",,,,
globem,0-shot,None,CoT,GPT-5,0.742,0.476,0.475,0.476,0.771,0.507,0.512,0.508,,,,,1906.6,37.1,2290.6,305.5,4197.2,309.1,34.7767,7.8760,0.025,0.003,"[0.698, 0.781]","[0.437, 0.519]","[0.435, 0.520]","[0.437, 0.520]","[0.732, 0.810]","[0.458, 0.561]","[0.453, 0.581]","[0.469, 0.558]",,,,
globem,0-shot,None,CoT,Claude Sonnet 4.5,0.512,0.429,0.493,0.486,0.623,0.459,0.476,0.463,,,,,2040.1,37.9,1047.5,116.3,3087.6,124.3,28.2927,3.5596,0.022,0.002,"[0.464, 0.558]","[0.384, 0.474]","[0.461, 0.528]","[0.420, 0.558]","[0.582, 0.669]","[0.419, 0.503]","[0.442, 0.512]","[0.411, 0.519]",,,,
globem,0-shot,None,CoT,Gemini 2.5 Pro,0.381,0.358,0.496,0.492,0.496,0.452,0.532,0.559,,,,,2060.3,152.5,3370.0,511.2,5430.4,597.0,40.4602,8.8015,0.036,0.005,"[0.334, 0.428]","[0.314, 0.404]","[0.457, 0.531]","[0.425, 0.557]","[0.442, 0.545]","[0.402, 0.501]","[0.496, 0.571]","[0.491, 0.627]",,,,
globem,0-shot,None,CoT,Llama-3.1 8b,0.464,0.416,0.517,0.536,0.472,0.429,0.519,0.534,,,,,1916.6,37.1,649.5,145.0,2566.1,153.2,7.5628,1.5147,-,-,"[0.406, 0.520]","[0.361, 0.467]","[0.480, 0.555]","[0.454, 0.611]","[0.419, 0.531]","[0.372, 0.485]","[0.476, 0.557]","[0.456, 0.609]",,,,
globem,0-shot,None,CoT,Mistral 7B,0.459,0.417,0.505,0.509,0.557,0.456,0.493,0.488,,,,,2285.7,51.6,555.1,138.5,2840.8,152.8,5.9055,1.3450,-,-,"[0.376, 0.540]","[0.341, 0.498]","[0.444, 0.565]","[0.393, 0.614]","[0.480, 0.635]","[0.384, 0.527]","[0.434, 0.548]","[0.384, 0.580]",,,,
globem,0-shot,None,CoT,gpt-oss-20b,0.360,0.338,0.480,0.464,0.554,0.455,0.494,0.489,,,,,1967.6,37.1,1868.8,412.8,3836.4,420.6,18.4133,8.2905,-,-,"[0.311, 0.407]","[0.291, 0.382]","[0.443, 0.517]","[0.394, 0.531]","[0.502, 0.600]","[0.405, 0.501]","[0.456, 0.530]","[0.423, 0.556]",,,,
globem,4-shot,Cross Random,CoT,GPT-5,0.650,0.475,0.490,0.484,0.681,0.507,0.511,0.516,,,,,6733.7,174.6,1915.9,303.3,8649.6,346.8,35.0190,8.6839,0.028,0.003,"[0.601, 0.693]","[0.429, 0.521]","[0.453, 0.528]","[0.424, 0.545]","[0.635, 0.722]","[0.459, 0.556]","[0.470, 0.555]","[0.460, 0.578]",,,,
globem,4-shot,Cross Random,CoT,Claude Sonnet 4.5,0.549,0.466,0.521,0.542,0.636,0.501,0.516,0.526,,,,,7024.7,181.2,945.6,113.8,7970.3,221.6,26.3727,2.9446,0.035,0.002,"[0.500, 0.597]","[0.420, 0.511]","[0.487, 0.555]","[0.475, 0.612]","[0.587, 0.685]","[0.453, 0.549]","[0.475, 0.556]","[0.459, 0.592]",,,,
globem,4-shot,Cross Random,CoT,Gemini 2.5 Pro,0.407,0.382,0.523,0.543,0.542,0.480,0.536,0.565,,,,,7494.9,231.5,2995.5,278.8,10490.4,381.3,31.8237,4.0490,0.039,0.003,"[0.341, 0.472]","[0.321, 0.447]","[0.476, 0.569]","[0.455, 0.628]","[0.477, 0.607]","[0.413, 0.551]","[0.488, 0.586]","[0.477, 0.654]",,,,
globem,4-shot,Cross Random,CoT,gpt-oss-20b,0.476,0.424,0.516,0.532,0.510,0.437,0.498,0.496,,,,,6794.6,174.6,2077.5,569.8,8872.1,600.3,21.0369,9.8518,-,-,"[0.430, 0.522]","[0.379, 0.466]","[0.482, 0.550]","[0.463, 0.600]","[0.461, 0.561]","[0.392, 0.489]","[0.463, 0.535]","[0.430, 0.565]",,,,
globem,4-shot,Cross Retrieval,CoT,GPT-5,0.676,0.486,0.495,0.492,0.789,0.584,0.590,0.580,,,,,6436.8,616.1,1962.8,288.0,8399.6,653.2,39.3801,9.4755,0.028,0.003,"[0.634, 0.717]","[0.440, 0.533]","[0.456, 0.534]","[0.434, 0.554]","[0.751, 0.828]","[0.526, 0.642]","[0.529, 0.654]","[0.525, 0.638]",,,,
globem,4-shot,Cross Retrieval,CoT,Claude Sonnet 4.5,0.394,0.366,0.496,0.493,0.604,0.495,0.521,0.537,,,,,6747.3,636.8,979.3,88.8,7726.6,649.9,26.8051,3.1673,0.035,0.002,"[0.345, 0.440]","[0.320, 0.409]","[0.461, 0.531]","[0.425, 0.557]","[0.560, 0.650]","[0.449, 0.545]","[0.484, 0.561]","[0.471, 0.604]",,,,
globem,4-shot,Cross Retrieval,CoT,Gemini 2.5 Pro,0.295,0.293,0.514,0.518,0.568,0.507,0.558,0.608,,,,,7188.3,931.6,3447.8,561.0,10636.1,1282.5,41.8615,10.6461,0.043,0.006,"[0.251, 0.339]","[0.250, 0.334]","[0.475, 0.555]","[0.468, 0.571]","[0.520, 0.612]","[0.459, 0.553]","[0.525, 0.595]","[0.547, 0.671]",,,,
globem,4-shot,Cross Retrieval,CoT,gpt-oss-20b,0.300,0.274,0.408,0.335,0.533,0.444,0.483,0.471,,,,,6383.7,633.7,2283.1,554.3,8666.9,845.2,23.3809,9.1799,-,-,"[0.211, 0.389]","[0.190, 0.360]","[0.317, 0.491]","[0.184, 0.483]","[0.433, 0.633]","[0.352, 0.546]","[0.400, 0.566]","[0.341, 0.611]",,,,
globem,4-shot,Personal Recent,CoT,GPT-5,0.802,0.508,0.517,0.510,0.797,0.505,0.522,0.511,,,,,6901.7,155.8,1612.3,329.9,8514.0,364.1,33.9730,8.7350,0.025,0.003,"[0.763, 0.841]","[0.462, 0.564]","[0.456, 0.591]","[0.472, 0.557]","[0.756, 0.836]","[0.460, 0.558]","[0.453, 0.601]","[0.476, 0.551]",,,,
globem,4-shot,Personal Recent,CoT,Claude Sonnet 4.5,0.695,0.521,0.525,0.538,0.726,0.547,0.544,0.555,,,,,7223.4,159.1,1012.6,109.0,8236.1,195.3,28.0167,3.1022,0.037,0.002,"[0.651, 0.741]","[0.469, 0.572]","[0.486, 0.568]","[0.478, 0.607]","[0.680, 0.768]","[0.494, 0.599]","[0.497, 0.595]","[0.497, 0.612]",,,,
globem,4-shot,Personal Recent,CoT,Gemini 2.5 Pro,0.586,0.484,0.524,0.547,0.691,0.544,0.545,0.567,,,,,7689.8,692.2,3232.0,597.0,10921.8,1074.1,38.5971,8.3939,0.042,0.006,"[0.537, 0.632]","[0.439, 0.530]","[0.488, 0.558]","[0.479, 0.613]","[0.647, 0.738]","[0.493, 0.597]","[0.502, 0.592]","[0.504, 0.630]",,,,
globem,4-shot,Personal Recent,CoT,gpt-oss-20b,0.770,0.550,0.550,0.550,0.717,0.548,0.553,0.546,,,,,6953.7,98.3,1774.2,627.6,8727.9,636.8,18.3230,9.4393,-,-,"[0.681, 0.841]","[0.444, 0.657]","[0.448, 0.672]","[0.446, 0.667]","[0.628, 0.796]","[0.449, 0.653]","[0.447, 0.668]","[0.457, 0.651]",,,,
globem,4-shot,Hybrid,CoT,GPT-5,0.802,0.508,0.517,0.510,0.797,0.514,0.532,0.517,,,,,6803.4,162.4,1591.7,309.7,8395.1,343.0,33.3277,7.9527,0.024,0.003,"[0.761, 0.838]","[0.461, 0.561]","[0.455, 0.586]","[0.472, 0.554]","[0.758, 0.833]","[0.463, 0.565]","[0.461, 0.608]","[0.480, 0.558]",,,,
globem,4-shot,Hybrid,CoT,Claude Sonnet 4.5,0.678,0.514,0.522,0.535,0.709,0.530,0.530,0.539,,,,,7121.1,167.9,1016.6,113.0,8137.8,201.3,27.8875,3.4084,0.037,0.002,"[0.632, 0.722]","[0.465, 0.563]","[0.484, 0.563]","[0.474, 0.601]","[0.666, 0.751]","[0.481, 0.577]","[0.486, 0.573]","[0.482, 0.597]",,,,
globem,4-shot,Hybrid,CoT,Gemini 2.5 Pro,0.604,0.495,0.528,0.554,0.700,0.545,0.545,0.564,,,,,7617.6,217.1,3247.8,511.4,10865.4,559.4,38.4793,7.8589,0.042,0.005,"[0.556, 0.650]","[0.441, 0.543]","[0.490, 0.565]","[0.478, 0.621]","[0.657, 0.742]","[0.495, 0.597]","[0.504, 0.589]","[0.505, 0.631]",,,,
globem,4-shot,Hybrid,CoT,gpt-oss-20b,0.746,0.486,0.486,0.487,0.684,0.454,0.450,0.464,,,,,6874.1,145.7,1673.7,487.5,8547.8,511.2,17.8640,7.1806,-,-,"[0.667, 0.825]","[0.412, 0.585]","[0.405, 0.594]","[0.408, 0.587]","[0.605, 0.772]","[0.387, 0.528]","[0.368, 0.543]","[0.403, 0.532]",,,,
globem,4-shot,Cross Random,Direct,GPT-5,0.599,0.453,0.482,0.468,0.705,0.544,0.544,0.561,,,,,6614.2,153.9,1446.3,347.2,8060.6,374.7,35.6446,15.3142,0.023,0.003,"[0.551, 0.643]","[0.409, 0.499]","[0.448, 0.519]","[0.407, 0.537]","[0.662, 0.746]","[0.493, 0.596]","[0.500, 0.590]","[0.501, 0.626]",,,,
globem,4-shot,Personal Recent,Direct,GPT-5,0.790,0.509,0.514,0.510,0.797,0.530,0.550,0.529,,,,,6759.7,155.8,989.5,369.6,7749.2,380.3,26.7220,22.9434,0.018,0.004,"[0.749, 0.829]","[0.461, 0.562]","[0.456, 0.578]","[0.468, 0.556]","[0.758, 0.836]","[0.478, 0.588]","[0.478, 0.627]","[0.488, 0.579]",,,,
globem,4-shot,Personal Recent,Self-Feedback,GPT-5,0.797,0.514,0.522,0.515,0.814,0.515,0.554,0.521,,,,,15528.6,8117.8,3790.6,2526.3,19319.2,10593.4,65.9269,54.4716,0.057,0.035,"[0.758, 0.833]","[0.465, 0.565]","[0.460, 0.590]","[0.474, 0.559]","[0.778, 0.853]","[0.472, 0.572]","[0.475, 0.656]","[0.491, 0.563]",,,,
