N_shot,ICL_strategy,reasoning,model,depression_accuracy,depression_f1_macro,depression_precision,depression_recall,anxiety_accuracy,anxiety_f1_macro,anxiety_precision,anxiety_recall,stress_accuracy,stress_f1_macro,stress_precision,stress_recall,prompt_avg,prompt_std,completion_avg,completion_std,avg_per_request,std_per_request,avg_seconds,std_seconds,per_sample_usd,per_sample_std,depression_accuracy_ci,depression_f1_macro_ci,depression_precision_ci,depression_recall_ci,anxiety_accuracy_ci,anxiety_f1_macro_ci,anxiety_precision_ci,anxiety_recall_ci,stress_accuracy_ci,stress_f1_macro_ci,stress_precision_ci,stress_recall_ci
4-shot,Cross Random,CoT,GPT-5,0.685,0.49338587109484944,0.4934702978181239,0.4933398310591293,0.615,0.5144865853274063,0.5327112827112828,0.5528138528138528,0.49,0.4825487012987013,0.4969974888088219,0.4972431077694236,2249.425,136.75523527455906,1859.42,227.9951394218745,4108.845,267.76465594809184,46.29040052771568,13.420635784529356,0.02140598124999999,0.002289121422884976,"[0.620, 0.745]","[0.426, 0.560]","[0.429, 0.563]","[0.423, 0.564]","[0.545, 0.680]","[0.440, 0.583]","[0.473, 0.591]","[0.457, 0.645]","[0.420, 0.555]","[0.411, 0.547]","[0.425, 0.567]","[0.432, 0.563]"
4-shot,Cross Random,CoT,Claude Sonnet 4.5,0.34,0.33761541549578483,0.49333333333333335,0.4918778427550357,0.315,0.3145716072545341,0.515625,0.5173160173160174,0.465,0.39271829507080225,0.463527851458886,0.48345864661654137,2433.34,140.35175239376244,983.6,81.11189801749187,3416.94,174.91505481232883,25.956421773433686,2.9924111116728263,0.022054019999999997,0.0013608389028830709,"[0.275, 0.410]","[0.274, 0.405]","[0.427, 0.557]","[0.412, 0.566]","[0.255, 0.380]","[0.253, 0.380]","[0.448, 0.576]","[0.442, 0.581]","[0.395, 0.535]","[0.330, 0.452]","[0.356, 0.566]","[0.433, 0.530]"
4-shot,Cross Random,CoT,Gemini 2.5 Pro,0.25380710659898476,0.2488522293984904,0.48064935064935066,0.4876696458126448,0.37055837563451777,0.3678053830227743,0.5574468085106383,0.5730783110790328,0.47715736040609136,0.3392490800742453,0.570446735395189,0.5042390405293631,2380.26,285.7360712265779,3279.74,475.45997980902666,5660.0,668.339808779935,39.94554511189461,5.997370114442189,0.03577272499999999,0.004946809555410436,"[0.198, 0.315]","[0.193, 0.307]","[0.386, 0.566]","[0.428, 0.542]","[0.305, 0.442]","[0.303, 0.434]","[0.504, 0.608]","[0.505, 0.632]","[0.406, 0.543]","[0.297, 0.386]","[0.223, 0.759]","[0.488, 0.522]"
4-shot,Cross Random,CoT,gpt-oss-20b,0.3553299492385787,0.3510492049905325,0.4925537425537425,0.49048328368090033,0.6598984771573604,0.5213070757625213,0.5255825734549139,0.535626102292769,0.5431472081218274,0.5404831018038565,0.5511743158801983,0.549110835401158,2309.835,137.1306230387655,1672.23,406.3618548781369,3982.065,451.6227195071125,35.527761495113374,25.634356401628484,0.0,0.0,"[0.289, 0.416]","[0.286, 0.414]","[0.427, 0.555]","[0.408, 0.569]","[0.594, 0.726]","[0.447, 0.597]","[0.465, 0.593]","[0.450, 0.631]","[0.472, 0.609]","[0.470, 0.607]","[0.481, 0.621]","[0.482, 0.616]"
4-shot,Cross Retrieval,CoT,GPT-5,0.74,0.475700746118169,0.4777777777777778,0.4870045484080572,0.705,0.5433259801075894,0.5416431394692264,0.5510822510822511,0.495,0.49040086783218545,0.4913300693594451,0.4914786967418546,4014.525,172.73360812244965,1759.4,278.35033680597553,5773.925,313.5368070498263,44.97703241586685,11.848751036632502,0.022612156249999994,0.0027716204926492797,"[0.675, 0.805]","[0.422, 0.546]","[0.402, 0.584]","[0.440, 0.544]","[0.640, 0.760]","[0.470, 0.611]","[0.478, 0.605]","[0.472, 0.633]","[0.420, 0.565]","[0.416, 0.562]","[0.418, 0.564]","[0.420, 0.563]"
4-shot,Cross Retrieval,CoT,Claude Sonnet 4.5,0.4824120603015075,0.43065470403599904,0.48706809456455846,0.47907813010787836,0.5226130653266332,0.4636118598382749,0.5177308547181249,0.5305749128919861,0.5025125628140703,0.5020599014280298,0.5057841932841933,0.5057244174265451,4243.76,178.96369017205697,990.35,116.49350840282904,5234.11,215.92164759467727,25.96504075407982,2.874038778213772,0.027586529999999984,0.0018405764773841917,"[0.417, 0.548]","[0.368, 0.494]","[0.432, 0.540]","[0.393, 0.568]","[0.452, 0.593]","[0.393, 0.535]","[0.461, 0.571]","[0.435, 0.623]","[0.432, 0.568]","[0.427, 0.565]","[0.435, 0.571]","[0.435, 0.569]"
4-shot,Cross Retrieval,CoT,Gemini 2.5 Pro,0.3553299492385787,0.3529290055605845,0.5086394557823128,0.510509764978484,0.3756345177664975,0.37330919436182597,0.5607801418439716,0.5755731922398589,0.4873096446700508,0.40826765799256504,0.5243506493506493,0.5093052109181141,4357.88,572.6109373737111,3591.285,638.7578991879474,7949.165,1101.7934778237707,43.61568940997124,6.0461280119072525,0.041360199999999986,0.006876711213672565,"[0.289, 0.426]","[0.284, 0.422]","[0.441, 0.572]","[0.431, 0.589]","[0.310, 0.442]","[0.309, 0.436]","[0.508, 0.608]","[0.510, 0.635]","[0.416, 0.558]","[0.346, 0.471]","[0.414, 0.646]","[0.468, 0.553]"
4-shot,Cross Retrieval,CoT,gpt-oss-20b,0.3743016759776536,0.36379791825336383,0.46207279799944434,0.4490481522956327,0.6312849162011173,0.5101990049751244,0.5163489736070381,0.5221230158730159,0.4581005586592179,0.4570159802357945,0.45852272727272725,0.4589785214785215,4074.411111111111,181.93221536510327,1836.95,425.9168838452456,5911.361111111111,480.97929920676637,38.53080581029256,26.125850038541916,0.0,0.0,"[0.302, 0.441]","[0.293, 0.432]","[0.392, 0.527]","[0.354, 0.537]","[0.553, 0.704]","[0.436, 0.584]","[0.455, 0.583]","[0.435, 0.617]","[0.385, 0.536]","[0.380, 0.531]","[0.381, 0.537]","[0.385, 0.537]"
4-shot,Personal Recent,Direct,GPT-5,0.765,0.5683122847301951,0.5828516377649325,0.5628654970760234,0.665,0.5562766979039041,0.5616236996834012,0.5943722943722943,0.51,0.5092147435897436,0.5134777743871427,0.5132832080200501,2053.14,55.40848671458191,1255.2,272.95362243428826,3308.34,284.83834783961237,33.72371110200882,11.626415483049769,0.01511842499999999,0.0027385495854329537,"[0.705, 0.820]","[0.490, 0.649]","[0.494, 0.682]","[0.495, 0.640]","[0.600, 0.730]","[0.482, 0.623]","[0.501, 0.618]","[0.502, 0.682]","[0.435, 0.570]","[0.435, 0.568]","[0.439, 0.573]","[0.440, 0.573]"
4-shot,Personal Recent,CoT,GPT-5,0.75,0.5570517363571935,0.5647058823529412,0.5536062378167641,0.68,0.5412186379928315,0.542319749216301,0.5584415584415585,0.505,0.5034980816971338,0.5092364532019704,0.5090225563909774,2195.14,55.40848671458191,1897.48,273.96970562454527,4092.62,282.1121330251501,47.09719558477402,13.61433005715102,0.02171872500000002,0.002743894847998917,"[0.695, 0.810]","[0.479, 0.636]","[0.480, 0.657]","[0.483, 0.632]","[0.610, 0.745]","[0.461, 0.617]","[0.476, 0.609]","[0.465, 0.650]","[0.430, 0.570]","[0.430, 0.567]","[0.435, 0.577]","[0.437, 0.574]"
4-shot,Personal Recent,CoT,Claude Sonnet 4.5,0.5226130653266332,0.5025130917607432,0.5937698664971393,0.644655116050997,0.49748743718592964,0.47287560923924565,0.5708306844670481,0.6164634146341463,0.507537688442211,0.4968524251805986,0.5170881749829118,0.5151821862348178,2378.015,58.873549026706385,947.89,103.90239602627074,3325.905,120.05996824503994,25.096309006214142,3.0710845942084486,0.021352394999999986,0.0015706991529172607,"[0.447, 0.593]","[0.427, 0.572]","[0.543, 0.645]","[0.568, 0.709]","[0.427, 0.563]","[0.400, 0.540]","[0.520, 0.618]","[0.534, 0.689]","[0.442, 0.578]","[0.426, 0.565]","[0.443, 0.593]","[0.450, 0.581]"
4-shot,Personal Recent,CoT,Gemini 2.5 Pro,0.23857868020304568,0.22982693911592994,0.476797385620915,0.48824892419728566,0.3553299492385787,0.35506405794859897,0.5787893541058098,0.5856261022927689,0.467005076142132,0.3341380975374215,0.434375,0.49348635235732013,2321.595,241.8157996802525,3516.505,546.3394182877527,5838.1,723.8197980160531,42.127609379291535,6.861333785010878,0.03806704375000001,0.005659236806950955,"[0.183, 0.294]","[0.174, 0.282]","[0.353, 0.574]","[0.426, 0.538]","[0.294, 0.416]","[0.293, 0.415]","[0.530, 0.623]","[0.532, 0.634]","[0.401, 0.538]","[0.294, 0.381]","[0.217, 0.727]","[0.472, 0.516]"
4-shot,Personal Recent,CoT,gpt-oss-20b,0.41,0.40518197398931344,0.5575396825396826,0.5753736192332684,0.625,0.5096597038344611,0.5233957219251337,0.5363636363636364,0.545,0.54242614707731,0.5429292929292929,0.5426065162907268,2256.14,55.40848671458191,1611.81,380.1068979905521,3867.95,380.18706908573307,26.609131668806075,11.801919841484926,0.0,0.0,"[0.345, 0.480]","[0.336, 0.474]","[0.502, 0.612]","[0.502, 0.641]","[0.560, 0.690]","[0.438, 0.575]","[0.468, 0.581]","[0.445, 0.625]","[0.475, 0.610]","[0.474, 0.609]","[0.475, 0.610]","[0.475, 0.610]"
4-shot,Personal Recent,Self-Feedback,GPT-5,0.78,0.5907738095238095,0.6118479221927497,0.5821962313190383,0.715,0.5881354095162398,0.5830796549974633,0.6134199134199134,0.55,0.5488721804511278,0.5488721804511278,0.5488721804511278,9696.26,921.78084835822,6383.44,913.9616602462053,16079.7,1638.1653426928553,115.28710794925689,24.300987464802006,0.075954725,0.009866228486578598,"[0.720, 0.840]","[0.507, 0.668]","[0.514, 0.712]","[0.510, 0.655]","[0.650, 0.775]","[0.510, 0.660]","[0.519, 0.650]","[0.525, 0.699]","[0.475, 0.615]","[0.470, 0.614]","[0.470, 0.615]","[0.471, 0.615]"
4-shot,Hybrid,CoT,GPT-5,0.75,0.5570517363571935,0.5647058823529412,0.5536062378167641,0.715,0.5742296918767507,0.5700000000000001,0.5909090909090909,0.555,0.5549888747218681,0.5560897435897436,0.5561403508771929,2211.19,13.318930137214473,1908.6,281.4164351987993,4119.79,282.86929119294655,47.37971927881241,12.876316350221849,0.021849987499999998,0.002815639994382938,"[0.695, 0.810]","[0.485, 0.629]","[0.486, 0.653]","[0.487, 0.626]","[0.650, 0.775]","[0.494, 0.648]","[0.502, 0.640]","[0.503, 0.677]","[0.485, 0.620]","[0.484, 0.620]","[0.485, 0.621]","[0.485, 0.620]"
4-shot,Hybrid,CoT,Claude Sonnet 4.5,0.52,0.5020230314347961,0.6001697792869269,0.6533463287849253,0.48,0.464524765729585,0.5893351034406461,0.6398268398268399,0.545,0.5288757733426523,0.5673870811073336,0.5556390977443608,2393.875,14.349194228248498,962.15,80.90919292639124,3356.025,83.51475543279761,25.306842641830443,3.01297627090418,0.021613875,0.001218516852314731,"[0.450, 0.590]","[0.427, 0.572]","[0.547, 0.649]","[0.579, 0.715]","[0.415, 0.550]","[0.392, 0.531]","[0.541, 0.635]","[0.570, 0.706]","[0.470, 0.615]","[0.454, 0.597]","[0.488, 0.641]","[0.490, 0.620]"
4-shot,Hybrid,CoT,Gemini 2.5 Pro,0.2914572864321608,0.2896635528214475,0.5279866332497911,0.5219025825433148,0.35175879396984927,0.34939301011227414,0.5315649496080628,0.5392857142857144,0.47738693467336685,0.33135177048332903,0.4885786802030457,0.49954453441295543,2347.74,167.16133643878302,3640.565,444.36927861295726,5988.305,556.8298501113244,44.041379835605625,5.354249714615963,0.03934032500000001,0.004565985413974185,"[0.231, 0.357]","[0.229, 0.350]","[0.454, 0.596]","[0.466, 0.575]","[0.291, 0.417]","[0.290, 0.415]","[0.475, 0.584]","[0.469, 0.609]","[0.407, 0.548]","[0.293, 0.371]","[0.211, 0.760]","[0.485, 0.514]"
4-shot,Hybrid,CoT,gpt-oss-20b,0.4321608040201005,0.4237796284433055,0.556687073228161,0.5787021902582543,0.7085427135678392,0.5545693115158999,0.552001679731243,0.5647212543554008,0.5175879396984925,0.5148313693620479,0.5153728294177733,0.5152327935222671,2272.19,13.318930137214473,1524.59,345.0477095997016,3796.78,345.6634802810387,24.78587321162224,11.25740988916375,0.0,0.0,"[0.367, 0.503]","[0.359, 0.492]","[0.507, 0.608]","[0.511, 0.648]","[0.643, 0.769]","[0.485, 0.628]","[0.489, 0.622]","[0.487, 0.651]","[0.447, 0.583]","[0.441, 0.582]","[0.441, 0.584]","[0.442, 0.583]"
