dataset,target,mode,model,imputer,n_test_samples,accuracy,f1_macro,precision,recall,accuracy_ci,f1_macro_ci,precision_ci,recall_ci,time_seconds
globem,depression,gen,mlp,simple,414,0.8115942028985508,0.5847222222222223,0.5947745901639344,0.5783898305084746,"[0.775, 0.848]","[0.524, 0.642]","[0.529, 0.663]","[0.523, 0.633]",95.11765670776367
globem,depression,pers,mlp,simple,414,0.7222222222222222,0.5192608673701217,0.5198462363668872,0.5261299435028248,"[0.679, 0.761]","[0.467, 0.571]","[0.476, 0.566]","[0.466, 0.585]",466.71854519844055
globem,anxiety,gen,mlp,simple,414,0.7246376811594203,0.5100083056478406,0.5098966613672496,0.510841170323929,"[0.686, 0.768]","[0.464, 0.559]","[0.464, 0.557]","[0.463, 0.563]",53.51406669616699
globem,anxiety,pers,mlp,simple,414,0.6521739130434783,0.47163925127623374,0.4816221514334722,0.47387669801462906,"[0.606, 0.696]","[0.428, 0.519]","[0.445, 0.522]","[0.421, 0.529]",327.11210775375366
