dataset,target,mode,model,imputer,n_test_samples,accuracy,f1_macro,precision,recall,accuracy_ci,f1_macro_ci,precision_ci,recall_ci,time_seconds
ces,depression,gen,xgboost,simple,300,0.7,0.4419642857142857,0.4631578947368421,0.4911212582445459,"[0.647, 0.750]","[0.404, 0.485]","[0.361, 0.589]","[0.467, 0.518]",285.96235156059265
ces,depression,pers,xgboost,simple,300,0.7466666666666667,0.5511457595086227,0.6876600102406554,0.5619820733975985,"[0.700, 0.793]","[0.492, 0.615]","[0.577, 0.785]","[0.522, 0.605]",7995.141563415527
ces,anxiety,gen,xgboost,simple,300,0.6666666666666666,0.41842431761786597,0.4807411019015114,0.4979940074145549,"[0.617, 0.717]","[0.389, 0.456]","[0.328, 0.682]","[0.482, 0.518]",294.29213547706604
ces,anxiety,pers,xgboost,simple,300,0.7166666666666667,0.5428059166293142,0.7712765957446809,0.5699304250672896,"[0.663, 0.763]","[0.481, 0.598]","[0.670, 0.849]","[0.536, 0.604]",5476.151837825775
ces,stress,gen,xgboost,simple,300,0.5466666666666666,0.5463440668920121,0.548040794417606,0.5477673011919587,"[0.490, 0.603]","[0.490, 0.602]","[0.492, 0.605]","[0.492, 0.604]",225.1513867378235
ces,stress,pers,xgboost,simple,300,0.6133333333333333,0.6130581747020103,0.6130581747020103,0.6130581747020103,"[0.560, 0.667]","[0.558, 0.663]","[0.559, 0.665]","[0.560, 0.664]",5994.417380809784
