dataset,target,mode,model,imputer,n_test_samples,accuracy,f1_macro,precision,recall,accuracy_ci,f1_macro_ci,precision_ci,recall_ci,time_seconds
globem,depression,gen,tabnet,simple,414,0.7705314009661836,0.4733177100770003,0.4710399297937692,0.47824858757062144,"[0.732, 0.807]","[0.439, 0.515]","[0.431, 0.522]","[0.446, 0.516]",900.8985650539398
globem,depression,pers,tabnet,simple,414,0.7294685990338164,0.48900154286973774,0.4901578073089701,0.4888418079096045,"[0.686, 0.771]","[0.445, 0.534]","[0.449, 0.533]","[0.440, 0.537]",10114.34108376503
globem,anxiety,gen,tabnet,simple,414,0.6666666666666666,0.5062057044079515,0.5131267738883633,0.5193312434691745,"[0.621, 0.710]","[0.455, 0.551]","[0.471, 0.552]","[0.457, 0.580]",895.8556485176086
globem,anxiety,pers,tabnet,simple,414,0.714975845410628,0.5385225769884754,0.5372670807453416,0.5480668756530825,"[0.669, 0.756]","[0.483, 0.593]","[0.490, 0.586]","[0.486, 0.610]",4680.4517703056335
