dataset,target,mode,model,imputer,n_test_samples,accuracy,f1_macro,precision,recall,accuracy_ci,f1_macro_ci,precision_ci,recall_ci,time_seconds
ces,depression,gen,random_forest,simple,300,0.6733333333333333,0.4545454545454546,0.4650718920982313,0.48452562151192285,"[0.613, 0.727]","[0.409, 0.506]","[0.389, 0.547]","[0.451, 0.522]",623.8698301315308
ces,depression,pers,random_forest,simple,300,0.7466666666666667,0.5365476868038052,0.6998545001039285,0.554202604430915,"[0.697, 0.797]","[0.477, 0.598]","[0.573, 0.810]","[0.517, 0.593]",3649.8733508586884
ces,anxiety,gen,random_forest,simple,300,0.6333333333333333,0.44745830821780186,0.47372439241633796,0.4895129754710274,"[0.580, 0.690]","[0.402, 0.498]","[0.389, 0.567]","[0.457, 0.525]",565.9455156326294
ces,anxiety,pers,random_forest,simple,300,0.7166666666666667,0.5428059166293142,0.7712765957446809,0.5699304250672896,"[0.663, 0.767]","[0.482, 0.610]","[0.676, 0.853]","[0.535, 0.611]",3984.1447851657867
ces,stress,gen,random_forest,simple,300,0.5566666666666666,0.5530463420371676,0.5620734481637959,0.5594645080946451,"[0.497, 0.610]","[0.493, 0.608]","[0.503, 0.620]","[0.503, 0.615]",380.52692461013794
ces,stress,pers,random_forest,simple,300,0.6333333333333333,0.6332681365576103,0.63442681404885,0.6341398327699698,"[0.580, 0.687]","[0.580, 0.686]","[0.583, 0.687]","[0.582, 0.687]",5688.842708826065
